 0.017125   1.075327
 0.017250   1.089461
 0.017375   1.103578
 0.017500   1.117676
 0.017625   1.131753
 0.017750   1.145806
 0.017875   1.159834
 0.018000   1.173833
 0.018125   1.187802
 0.018250   1.201738
 0.018375   1.215639
 0.018500   1.229501
 0.018625   1.243324
 0.018750   1.257103
 0.018875   1.270837
 0.019000   1.284522
 0.019125   1.298157
 0.019250   1.311737
 0.019375   1.325261
 0.019500   1.338726
 0.019625   1.352129
 0.019750   1.365466
 0.019875   1.378736
 0.020000   1.391936
 0.020125   1.405062
 0.020250   1.418112
 0.020375   1.431083
 0.020500   1.443973
 0.020625   1.456778
 0.020750   1.469497
 0.020875   1.482127
 0.021000   1.494665
 0.021125   1.507108
 0.021250   1.519455
 0.021375   1.531703
 0.021500   1.543850
 0.021625   1.555893
 0.021750   1.567832
 0.021875   1.579663
 0.022000   1.591386
 0.022125   1.602999
 0.022250   1.614500
 0.022375   1.625887
 0.022500   1.637161
 0.022625   1.648319
 0.022750   1.659360
 0.022875   1.670285
 0.023000   1.681091
 0.023125   1.691780
 0.023250   1.702350
 0.023375   1.712802
 0.023500   1.723136
 0.023625   1.733351
 0.023750   1.743448
 0.023875   1.753428
 0.024000   1.763291
 0.024125   1.773038
 0.024250   1.782671
 0.024375   1.792189
 0.024500   1.801596
 0.024625   1.810891
 0.024750   1.820077
 0.024875   1.829155
 0.025000   1.838127
 0.025125   1.846996
 0.025250   1.855762
 0.025375   1.864428
 0.025500   1.872997
 0.025625   1.881470
 0.025750   1.889850
 0.025875   1.898140
 0.026000   1.906342
 0.026125   1.914459
 0.026250   1.922493
 0.026375   1.930447
 0.026500   1.938324
 0.026625   1.946126
 0.026750   1.953856
 0.026875   1.961518
 0.027000   1.969113
 0.027125   1.976645
