-0.5                0.0614138           
-0.45               0.0580269           
-0.4                0.0543981           
-0.35               0.0506483           
-0.3                0.0466566           
-0.25               0.0415763           
-0.2                0.0361331           
-0.15               0.0303754           
-0.1                0.0234208           
-0.05               0.01504             
-0.04               0.0129492           
-0.03               0.0106055           
-0.02               0.00780761          
-0.01               0.00429199          
-0.008              0.00348308          
-0.006              0.00264019          
-0.004              0.00177569          
-0.003              0.00133862          
-0.002              0.000894532         
-0.001              0.000448384         
-0.0005             0.000224146         
-0.0004             0.000179541         
-0.0003             0.000134717         
-0.0002             8.98047e-05         
-0.0001             4.49146e-05         
0.0001              4.49146e-05         
0.0002              8.98047e-05         
0.0003              0.000134717         
0.0004              0.000179541         
0.0005              0.000224146         
0.001               0.000448384         
0.002               0.000894532         
0.003               0.00133862          
0.004               0.00177569          
0.006               0.00264019          
0.008               0.00348308          
0.01                0.00429199          
0.02                0.00780761          
0.03                0.0106055           
0.04                0.0129492           
0.05                0.01504             
0.1                 0.0234208           
0.15                0.0303754           
0.2                 0.0361331           
0.25                0.0415763           
0.3                 0.0466566           
0.35                0.0506483           
0.4                 0.0543981           
0.45                0.0580269           
0.5                 0.0614138           
