0.022    1.370000   -0.006954    0.006434    -1.522000    78.610000   0.001000  -0.014960   -0.005440    -0.010171  -0.003737
0.022    0.287100   -0.007653    0.002476    -0.325000    63.210000   0.002400  -0.010160   -0.004000    -0.008891  -0.006415
0.022    0.727800   -0.007582    0.004556    -0.776800    64.420000   0.000628  -0.009520   -0.005040    -0.009860  -0.005304
0.022    0.885900   -0.007338    0.004999    -0.977900    70.220000   0.000159  -0.009360   -0.005840    -0.009838  -0.004838
0.022    0.510200   -0.007510    0.003697    -0.571300    66.080000   0.000390  -0.009840   -0.005040    -0.009359  -0.005661
0.022    0.868000   -0.007523    0.005019    -0.927000    65.750000   0.000537  -0.009520   -0.005200    -0.010032  -0.005013
0.022    0.834000   -0.007442    0.004908    -0.907100    67.630000   0.000441  -0.009680   -0.005280    -0.009896  -0.004988
0.022    0.482200   -0.007528    0.003569    -0.540200    65.670000   0.000455  -0.009920   -0.004960    -0.009312  -0.005744
0.022    0.880500   -0.007429    0.005044    -0.956000    67.950000   0.000393  -0.009600   -0.005360    -0.009951  -0.004907
0.022    0.851300   -0.007456    0.004961    -0.922000    67.310000   0.000449  -0.009600   -0.005280    -0.009936  -0.004975
0.022    0.454000   -0.007538    0.003438    -0.510300    65.460000   0.000525  -0.009920   -0.004880    -0.009257  -0.005819
0.022    0.811500   -0.007426    0.004816    -0.887300    68.010000   0.000350  -0.009520   -0.005360    -0.009834  -0.005018
0.022    0.811500   -0.007426    0.004816    -0.887300    68.010000   0.000350  -0.009520   -0.005360    -0.009834  -0.005018
0.022    0.733700   -0.007594    0.004602    -0.781200    64.210000   0.000760  -0.009760   -0.004960    -0.009895  -0.005293
0.022    0.820900   -0.007505    0.004896    -0.883400    66.190000   0.000618  -0.009840   -0.005120    -0.009953  -0.005057
0.022    0.607700   -0.007498    0.004106    -0.671000    66.340000   0.000397  -0.009920   -0.005120    -0.009551  -0.005445
0.022    0.881300   -0.007501    0.005074    -0.944400    66.280000   0.000558  -0.009680   -0.005200    -0.010038  -0.004964
0.022    0.811800   -0.007475    0.004849    -0.879300    66.880000   0.000511  -0.009760   -0.005200    -0.009900  -0.005051
0.022    0.482200   -0.007528    0.003569    -0.540200    65.670000   0.000455  -0.009920   -0.004960    -0.009312  -0.005744
0.022    0.880500   -0.007429    0.005044    -0.956000    67.950000   0.000393  -0.009600   -0.005360    -0.009951  -0.004907
0.022    0.851300   -0.007456    0.004961    -0.922000    67.310000   0.000449  -0.009600   -0.005280    -0.009936  -0.004975
0.022    0.454000   -0.007538    0.003438    -0.510300    65.460000   0.000525  -0.009920   -0.004880    -0.009257  -0.005819
0.022    0.811500   -0.007426    0.004816    -0.887300    68.010000   0.000350  -0.009520   -0.005360    -0.009834  -0.005018
0.022    0.811500   -0.007426    0.004816    -0.887300    68.010000   0.000350  -0.009520   -0.005360    -0.009834  -0.005018
0.022    0.733700   -0.007594    0.004602    -0.781200    64.210000   0.000760  -0.009760   -0.004960    -0.009895  -0.005293
0.022    0.820900   -0.007505    0.004896    -0.883400    66.190000   0.000618  -0.009840   -0.005120    -0.009953  -0.005057
