0.001      -0.0003577   0.04975     0.0003133     -0.05288     60.24
0.002      -0.0007563   0.07436     0.0005215     -0.07713     55.32
0.003      -0.001102    0.1459      0.0009015     -0.1537      59.4
0.005      -0.0018      0.25        0.001549      -0.2649      60.35
0.007      -0.002319    0.4792      0.002489      -0.5208      69.84
0.01       -0.003587    0.5         0.003047      -0.5205      59.87
0.012      -0.004207    0.5625      0.003228      -0.6102      66.09
0.015      -0.005013    0.8932      0.04917       -0.9566      67.41
0.017      -0.005644    0.9139      0.004883      -0.9948      70.04
0.02       -0.006872    0.9444      0.005676      -0.9942      63.95
0.022      -0.007517    0.9372      0.005473      -1           66.04
0.025      -0.008544    0.9999      0.005939      -1.061       66.04
0.027      -0.009051    0.925       0.005759      -0.996       67.16
0.03       -0.009897    1.211       0.007044      -1.308       70
0.032      -0.01054     1           0.006338      -1.086       69.06
0.033      -0.01084     1           0.006357      -1.088       69.4
0.035      -0.01143     1.2         0.007203      -1.313       71.69
0.037      -0.01198     1.167       0.007242      -1.281       71.94
0.04       -0.01288     1.198       0.007478      -1.318       73.22
0.042      -0.01341     1.217       0.007694      -1.354       74.2
0.045      -0.0144      0.6792      0.005343      -0.7704      71.57
0.047      -0.01503     1.092       0.007514      -1.206       73.79
0.05       -0.01588     1.035       0.007525      -1.162       74.46
